model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
logistic,3,0.979020979021,0.006993006993,0.972027972028,0.986013986014,3,0.976869322152,0.00757792282411,0.970020964361,0.98501048218,3,0.983364027011,0.00555580991717,0.977777777778,0.988888888889,3,0.996855345912,0.00316554902944,0.993501048218,0.999790356394
random_forest,3,0.965034965035,0.006993006993,0.958041958042,0.972027972028,3,0.956708595388,0.009433962264,0.947274633124,0.966142557652,3,0.972696959333,0.00531536329008,0.967391304348,0.978021978022,3,0.997274633124,0.000755880770451,0.996645702306,0.998113207547
sgd_logistic,3,0.979020979021,0.0121122434096,0.972027972028,0.993006993007,3,0.979454926625,0.0131253473474,0.970020964361,0.994444444444,3,0.983239758496,0.00967746947527,0.977528089888,0.994413407821,3,0.991928721174,0.0100961409166,0.980607966457,1
