model,metric,estimand,split_sd,seed_sd,split_range,seed_range,split_to_seed_sd_ratio,seed_sd_is_zero
linear_svm,roc_auc,conditional_one_factor_at_a_time,0.010065804377,1.35973995551e-16,0.018029350104,0,7.40274222006e+13,False
logistic,roc_auc,conditional_one_factor_at_a_time,0.00316554902944,0,0.006289308176,0,,True
random_forest,roc_auc,conditional_one_factor_at_a_time,0.000755880770451,0.000242075584716,0.001467505241,0.000419287212,3.12249899691,False
sgd_logistic,roc_auc,conditional_one_factor_at_a_time,0.0102725366878,0.00368519828711,0.019706498952,0.006918238993,2.78751260785,False
