model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
linear_svm,3,0.972027972028,0,0.972027972028,0.972027972028,3,0.970020964361,0,0.970020964361,0.970020964361,3,0.977777777778,0,0.977777777778,0.977777777778,3,0.981341719078,0,0.981341719078,0.981341719078
logistic,3,0.979020979021,0,0.979020979021,0.979020979021,3,0.975576519916,0,0.975576519916,0.975576519916,3,0.983425414365,0,0.983425414365,0.983425414365,3,0.993501048218,0,0.993501048218,0.993501048218
random_forest,3,0.965034965035,0,0.965034965035,0.965034965035,3,0.956708595388,0,0.956708595388,0.956708595388,3,0.972677595628,0,0.972677595628,0.972677595628,3,0.99678546471,0.000242075584716,0.996645702306,0.997064989518
sgd_logistic,3,0.969696969697,0.00403741446985,0.965034965035,0.972027972028,3,0.9642907058,0.00684666403285,0.956708595388,0.970020964361,3,0.976159117143,0.00301755737023,0.972677595628,0.978021978022,3,0.978825995807,0.00368519828711,0.97463312369,0.981551362683
