experiment,model,split_seed,model_seed,preprocessing,n_train,n_test,converged,convergence_warning_count,n_iter,accuracy,balanced_accuracy,f1,roc_auc,prediction_sha256,score_sha256
seed_sensitivity,logistic,1729,2718,standard,426,143,True,0,7,0.979020979021,0.975576519916,0.983425414365,0.993501048218,41e5644141a5657a7e94b6aec01d92006d123e3dbac4e09466b2e9e5c39bbcba,aeb2f057e6dccea5074204f0e8b0e7f8617fb37d099dd9c1961200fbe3be2d3f
seed_sensitivity,logistic,1729,2719,standard,426,143,True,0,7,0.979020979021,0.975576519916,0.983425414365,0.993501048218,41e5644141a5657a7e94b6aec01d92006d123e3dbac4e09466b2e9e5c39bbcba,aeb2f057e6dccea5074204f0e8b0e7f8617fb37d099dd9c1961200fbe3be2d3f
seed_sensitivity,logistic,1729,2720,standard,426,143,True,0,7,0.979020979021,0.975576519916,0.983425414365,0.993501048218,41e5644141a5657a7e94b6aec01d92006d123e3dbac4e09466b2e9e5c39bbcba,aeb2f057e6dccea5074204f0e8b0e7f8617fb37d099dd9c1961200fbe3be2d3f
seed_sensitivity,random_forest,1729,2718,standard,426,143,True,0,-1,0.965034965035,0.956708595388,0.972677595628,0.996645702306,ff9e88698f5d250e2db983da50f4185a182cfd318a973cc4ed1d006f71f402ab,303df12352f31c72d66bc0f1fb535c39b97fdae5b90bbe574bf51517796eab4f
seed_sensitivity,random_forest,1729,2719,standard,426,143,True,0,-1,0.965034965035,0.956708595388,0.972677595628,0.996645702306,ff9e88698f5d250e2db983da50f4185a182cfd318a973cc4ed1d006f71f402ab,e2ecb4e38dbff7812aeb305b0c6c268b4a04adaa55ecc7eb701796c202ecd954
seed_sensitivity,random_forest,1729,2720,standard,426,143,True,0,-1,0.965034965035,0.956708595388,0.972677595628,0.997064989518,06e707001d995ca766dfe95cb24265ff01ebe4acdb481856253608c4286bb06e,11573f69fe9eef07aedc648efcb41a067d9310c33fe45d93167069ad9ad92ea0
seed_sensitivity,sgd_logistic,1729,2718,standard,426,143,True,0,40,0.972027972028,0.970020964361,0.977777777778,0.980607966457,e937a5e562003bf0e4bdb3241748869b2cd4201a7f6873f350c4a624acdd295b,219c79e5cdfb1ca3390fbc01091949f227a776afb20205f8cd6600780e077837
seed_sensitivity,sgd_logistic,1729,2719,standard,426,143,True,0,24,0.965034965035,0.956708595388,0.972677595628,0.982285115304,e629153d7c9f0253eed7e0efef2213f4249e2480163f6cb3a64ec32da7acb3f5,8f214b57bb815459b2a9b874da204df9a7f95ce74d90543a6ae16d1c14048ed8
seed_sensitivity,sgd_logistic,1729,2720,standard,426,143,True,0,47,0.972027972028,0.966142557652,0.978021978022,0.975157232704,6cf20e1e7585256747e594e7838306bc6b8e0a3ad616054094a659f20fa1c8d2,26436954bb16dce14d069dd75670f796968de3809bad38c23e7ea5ce7756a764
