model,source,sum_sq,df,share_total_ss
sgd_logistic,C(split_seed),0.00133615202166,1,0.306243809077
sgd_logistic,C(model_seed),2.46268973791e-05,1,0.00564444369869
sgd_logistic,C(preprocessing),0.0027633034324,2,0.633344525965
sgd_logistic,C(split_seed):C(model_seed),3.66253679053e-05,1,0.00839447307969
sgd_logistic,C(split_seed):C(preprocessing),3.90353171046e-05,2,0.0089468294063
sgd_logistic,C(model_seed):C(preprocessing),6.07468352039e-05,2,0.0139230730491
sgd_logistic,Residual,0.000102543705042,2,0.0235028457241
