model,preprocessing,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
logistic,none,1,0.93006993007,,0.93006993007,0.93006993007,1,0.917295597484,,0.917295597484,0.917295597484,1,0.945652173913,,0.945652173913,0.945652173913,1,0.984486373166,,0.984486373166,0.984486373166
logistic,standard,1,0.979020979021,,0.979020979021,0.979020979021,1,0.975576519916,,0.975576519916,0.975576519916,1,0.983425414365,,0.983425414365,0.983425414365,1,0.993501048218,,0.993501048218,0.993501048218
random_forest,none,1,0.965034965035,,0.965034965035,0.965034965035,1,0.956708595388,,0.956708595388,0.956708595388,1,0.972677595628,,0.972677595628,0.972677595628,1,0.996645702306,,0.996645702306,0.996645702306
random_forest,standard,1,0.965034965035,,0.965034965035,0.965034965035,1,0.956708595388,,0.956708595388,0.956708595388,1,0.972677595628,,0.972677595628,0.972677595628,1,0.996645702306,,0.996645702306,0.996645702306
sgd_logistic,none,1,0.874125874126,,0.874125874126,0.874125874126,1,0.84570230608,,0.84570230608,0.84570230608,1,0.905263157895,,0.905263157895,0.905263157895,1,0.84570230608,,0.84570230608,0.84570230608
sgd_logistic,standard,1,0.972027972028,,0.972027972028,0.972027972028,1,0.970020964361,,0.970020964361,0.970020964361,1,0.977777777778,,0.977777777778,0.977777777778,1,0.980607966457,,0.980607966457,0.980607966457
