model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
linear_svm,30,0.850544590943,0,0.850544590943,0.850544590943,30,0.755975840508,0,0.755975840508,0.755975840508,30,0.647887323944,0,0.647887323944,0.647887323944,30,0.902200088142,0,0.902200088142,0.902200088142
logistic,30,0.850053230694,0,0.850053230694,0.850053230694,30,0.758702380602,0,0.758702380602,0.758702380602,30,0.650639190994,0,0.650639190994,0.650639190994,30,0.902102307757,0,0.902102307757,0.902102307757
random_forest,30,0.864458275326,0.000608801744597,0.863319957415,0.86594054541,30,0.776736543782,0.000984500906141,0.774440417298,0.77829334764,30,0.682392652658,0.00151302983287,0.679252552495,0.685373822795,30,0.916379560515,0.000183241762461,0.915766269216,0.916712259442
sgd_logistic,30,0.84785302869,0.000858833158445,0.845876668578,0.849561870445,30,0.756919998427,0.0122131493445,0.739728859486,0.783364185366,30,0.646413057314,0.0137910470291,0.625929648241,0.673746518106,30,0.901510172734,0.000411474033697,0.900602148855,0.902362527373
