experiment,model,metric,tolerance,reference,n_replications,n_reproduced,reference_reproduction_rate,ci_lower,ci_upper,ci_method,deterministic_by_construction
split_sensitivity,linear_svm,roc_auc,0.001,0.902200088142,29,5,0.172413793103,0.0759785725289,0.345484398902,wilson_95,False
split_sensitivity,linear_svm,roc_auc,0.005,0.902200088142,29,26,0.896551724138,0.736149189092,0.964185108649,wilson_95,False
split_sensitivity,linear_svm,roc_auc,0.01,0.902200088142,29,29,1,0.8830302015,1,wilson_95,False
split_sensitivity,logistic,roc_auc,0.001,0.902102307757,29,4,0.137931034483,0.0549743996411,0.305589937204,wilson_95,False
split_sensitivity,logistic,roc_auc,0.005,0.902102307757,29,26,0.896551724138,0.736149189092,0.964185108649,wilson_95,False
split_sensitivity,logistic,roc_auc,0.01,0.902102307757,29,29,1,0.8830302015,1,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.001,0.916559988782,29,12,0.413793103448,0.255131773413,0.592621640121,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.005,0.916559988782,29,25,0.862068965517,0.694410062796,0.945025600359,wilson_95,False
split_sensitivity,random_forest,roc_auc,0.01,0.916559988782,29,29,1,0.8830302015,1,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.001,0.901928889417,29,5,0.172413793103,0.0759785725289,0.345484398902,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.005,0.901928889417,29,25,0.862068965517,0.694410062796,0.945025600359,wilson_95,False
split_sensitivity,sgd_logistic,roc_auc,0.01,0.901928889417,29,29,1,0.8830302015,1,wilson_95,False
seed_sensitivity,linear_svm,roc_auc,0.001,0.902200088142,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,linear_svm,roc_auc,0.005,0.902200088142,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,linear_svm,roc_auc,0.01,0.902200088142,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.001,0.902102307757,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.005,0.902102307757,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,logistic,roc_auc,0.01,0.902102307757,29,29,1,0.8830302015,1,wilson_95,True
seed_sensitivity,random_forest,roc_auc,0.001,0.916559988782,29,29,1,0.8830302015,1,wilson_95,False
seed_sensitivity,random_forest,roc_auc,0.005,0.916559988782,29,29,1,0.8830302015,1,wilson_95,False
seed_sensitivity,random_forest,roc_auc,0.01,0.916559988782,29,29,1,0.8830302015,1,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.001,0.901928889417,29,27,0.931034482759,0.780354198497,0.980878733831,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.005,0.901928889417,29,29,1,0.8830302015,1,wilson_95,False
seed_sensitivity,sgd_logistic,roc_auc,0.01,0.901928889417,29,29,1,0.8830302015,1,wilson_95,False
