model,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
linear_svm,30,0.850465427347,0.00303752393498,0.843256080583,0.856031447056,30,0.758625354294,0.0048939592093,0.749074033752,0.766854147845,30,0.650845106266,0.00761758130185,0.634453781513,0.664503816794,30,0.903810486999,0.00281887508329,0.897316742647,0.909772523181
logistic,30,0.850181530314,0.00311571241803,0.841945786586,0.855785766931,30,0.762074699228,0.00506017800561,0.750910437072,0.771501497764,30,0.65450523163,0.00775057027726,0.635711589279,0.669295774648,30,0.904277695975,0.00289358406713,0.897365190728,0.910692115651
random_forest,30,0.864365462834,0.00246879086163,0.857751207927,0.868397346655,30,0.778251116142,0.00394574543057,0.770212999869,0.786444064867,30,0.683860192224,0.00597477503441,0.669583412593,0.695124264845,30,0.916609060118,0.00245444096981,0.911449618896,0.922007947843
sgd_logistic,30,0.849597357574,0.00300800795253,0.841700106461,0.854393579559,30,0.762898804768,0.0104731423545,0.740730629481,0.783671231986,30,0.65464371777,0.0119655990084,0.6271525831,0.677899964526,30,0.904018305318,0.00295480941081,0.896475330274,0.910367642459
