model,preprocessing,accuracy_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,f1_count,f1_mean,f1_std,f1_min,f1_max,roc_auc_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max
linear_svm,none,1,0.80009827205,,0.80009827205,0.80009827205,1,0.61291895524,,0.61291895524,0.61291895524,1,0.378089171975,,0.378089171975,0.378089171975,1,0.569387894051,,0.569387894051,0.569387894051
linear_svm,robust,1,0.847842109573,,0.847842109573,0.847842109573,1,0.74845240619,,0.74845240619,0.74845240619,1,0.636967565455,,0.636967565455,0.636967565455,1,0.900661428674,,0.900661428674,0.900661428674
linear_svm,standard,1,0.850544590943,,0.850544590943,0.850544590943,1,0.755975840508,,0.755975840508,0.755975840508,1,0.647887323944,,0.647887323944,0.647887323944,1,0.902200088142,,0.902200088142,0.902200088142
logistic,none,1,0.849889443944,,0.849889443944,0.849889443944,1,0.758594726388,,0.758594726388,0.758594726388,1,0.650390997521,,0.650390997521,0.650390997521,1,0.902107981525,,0.902107981525,0.902107981525
logistic,robust,1,0.849807550569,,0.849807550569,0.849807550569,1,0.758423610714,,0.758423610714,0.758423610714,1,0.650133536818,,0.650133536818,0.650133536818,1,0.902108018367,,0.902108018367,0.902108018367
logistic,standard,1,0.850053230694,,0.850053230694,0.850053230694,1,0.758702380602,,0.758702380602,0.758702380602,1,0.650639190994,,0.650639190994,0.650639190994,1,0.902102307757,,0.902102307757,0.902102307757
random_forest,none,1,0.865121611662,,0.865121611662,0.865121611662,1,0.777872365134,,0.777872365134,0.777872365134,1,0.684180249281,,0.684180249281,0.684180249281,1,0.916573915303,,0.916573915303,0.916573915303
random_forest,robust,1,0.865121611662,,0.865121611662,0.865121611662,1,0.777872365134,,0.777872365134,0.777872365134,1,0.684180249281,,0.684180249281,0.684180249281,1,0.916589407636,,0.916589407636,0.916589407636
random_forest,standard,1,0.865039718287,,0.865039718287,0.865039718287,1,0.777935826593,,0.777935826593,0.777935826593,1,0.684170180146,,0.684170180146,0.684170180146,1,0.916559988782,,0.916559988782,0.916559988782
sgd_logistic,none,1,0.785521251331,,0.785521251331,0.785521251331,1,0.562755886,,0.562755886,0.562755886,1,0.232189973615,,0.232189973615,0.232189973615,1,0.605072060902,,0.605072060902,0.605072060902
sgd_logistic,robust,1,0.813037425272,,0.813037425272,0.813037425272,1,0.722643671402,,0.722643671402,0.722643671402,1,0.584380120153,,0.584380120153,0.584380120153,1,0.791928350778,,0.791928350778,0.791928350778
sgd_logistic,standard,1,0.847514536074,,0.847514536074,0.847514536074,1,0.744835729321,,0.744835729321,0.744835729321,1,0.632306477093,,0.632306477093,0.632306477093,1,0.901928889417,,0.901928889417,0.901928889417
